repository
facebook/fresco
facebook/hhvm
apache/flink
google/dagger
google/flexbox-layout
facebookresearch/detectron2
osquery/osquery
ClickHouse/ClickHouse
bitcoinbook/bitcoinbook
dotnet/roslyn
mybatis/mybatis-3
facebook/relay
apache/rocketmq
microsoft/winget-cli
facebook/zstd
BabylonJS/Babylon.js
Carthage/Carthage
microsoft/react-native-windows
ValveSoftware/Proton
MengTo/Spring
appium/appium
flutter/plugins
google/jax
facebook/yoga
ipython/ipython
mpv-player/mpv
fbsamples/f8app
apache/incubator-weex
ampproject/amphtml
apache/shardingsphere
angular-ui/ui-router
infernojs/inferno
facebookresearch/faiss
facebook/prepack
redox-os/redox
feathersjs/feathers
google/deepdream
plotly/plotly.js
zulip/zulip
facebook/prophet
amazeui/amazeui
microsoft/LightGBM
google/mediapipe
grafana/loki
CocoaPods/CocoaPods
microsoft/vcpkg
kivy/kivy
esp8266/Arduino
Nyr/openvpn-install
node-inspector/node-inspector
jikexueyuanwiki/tensorflow-zh
facebook/stetho
elastic/logstash
JetBrains/intellij-community
graphql/graphiql
xbmc/xbmc
google/guetzli
apache/predictionio
google/cadvisor
google/libphonenumber
microsoft/fluentui
gruntjs/grunt
microsoft/AirSim
google/yapf
OpenEmu/OpenEmu
eclipse/deeplearning4j
facebook/infer
microsoft/dotnet
apache/incubator-brpc
google/WebFundamentals
dotnet/coreclr
Semantic-Org/Semantic-UI-React
be5invis/Iosevka
Unity-Technologies/ml-agents
systemjs/systemjs
apache/hadoop
playframework/playframework
google/gvisor
prestodb/presto
qyuhen/book
daimajia/AndroidViewAnimations
microsoft/WSL
PHPOffice/PHPExcel
ruanyf/free-books
google/filament
arduino/Arduino
mockito/mockito
nicklockwood/iCarousel
google/tink
qbittorrent/qBittorrent
saltstack/salt
NodeBB/NodeBB
showdownjs/showdown
flarum/flarum
mkdocs/mkdocs
markdown-it/markdown-it
openai/baselines
jquery/jquery-ui
nim-lang/Nim
gnachman/iTerm2
dotnet/maui
apache/druid
kubernetes/ingress-nginx
facebook/react-devtools
Ramotion/animated-tab-bar
arangodb/arangodb
ascoders/weekly
outline/outline
twitter/twemproxy
python/mypy
programthink/books
cjwirth/awesome-ios-ui
microsoft/recommenders
jupyterlab/jupyterlab
memcached/memcached
go-redis/redis
apple/foundationdb
apachecn/apachecn-algo-zh
GoogleChrome/workbox
google/grumpy
apple/turicreate
google/brotli
jamiebuilds/babel-handbook
futurice/ios-good-practices
mozilla-mobile/firefox-ios
google/guice
facebook/watchman
microsoft/frontend-bootcamp
dotnet/efcore
Tim9Liu9/TimLiu-iOS
mirumee/saleor
apache/zookeeper
Homebrew/homebrew-core
kubernetes/dashboard
docker/labs
microsoft/nni
mono/mono
dotnet/AspNetCore.Docs
afaqurk/linux-dash
aui/art-template
microsoft/ai-edu
facebookarchive/Shimmer
dotnet/blazor
apache/pulsar
dariubs/GoBooks
halfrost/Halfrost-Field
magento/magento2
openresty/openresty
tinymce/tinymce
google/auto
google/dopamine
google/blockly
cdnjs/cdnjs
ceph/ceph
MyCATApache/Mycat-Server
erlang/otp
apple/darwin-xnu
ant-design/ant-design-mobile
FreeCAD/FreeCAD
OpenRA/OpenRA
facebook/flipper
didi/cube-ui
microsoft/napajs
reactos/reactos
Quick/Quick
mongodb/node-mongodb-native
mrmrs/colors
dgryski/go-perfbook
ornicar/lila
clojure/clojure
peers/peerjs
Shopify/liquid
apidoc/apidoc
facebook/chisel
apple/swift-package-manager
ejci/favico.js
chromium/chromium
apache/thrift
torch/torch7
neo4j/neo4j
trazyn/ieaseMusic
keycloak/keycloak
uutils/coreutils
babun/babun
kubernetes/community
didi/chameleon
doctrine/orm
angular/protractor
facebookarchive/caffe2
python-pillow/Pillow
irungentoo/toxcore
facebookarchive/react-360
llvm/llvm-project
junit-team/junit4
postgres/postgres
OpenRefine/OpenRefine
travis-ci/travis-ci
AudioKit/AudioKit
facebookresearch/ParlAI
openframeworks/openFrameworks
microsoft/reactxp
gitbucket/gitbucket
rootsongjc/kubernetes-handbook
shadowsocks/shadowsocks-iOS
ziahamza/webui-aria2
OnsenUI/OnsenUI
apache/arrow
jupyter/notebook
systemd/systemd
symfony/http-foundation
Grouper/FlatUIKit
andlabs/ui
dotnet/orleans
stanfordnlp/CoreNLP
google/go-cloud
raspberrypi/linux
yemount/pose-animator
twitter/finagle
reactphp/reactphp
facebookarchive/nuclide
dropwizard/dropwizard
tweepy/tweepy
restsharp/RestSharp
facebook/buck
