netdata/netdata
atom/atom
yangshun/tech-interview-handbook
h5bp/Front-end-Developer-Interview-Questions
30-seconds/30-seconds-of-code
avelino/awesome-go
FortAwesome/Font-Awesome
github/gitignore
chrislgarry/Apollo-11
nvbn/thefuck
Genymobile/scrcpy
gatsbyjs/gatsby
sindresorhus/awesome
CyC2018/CS-Notes
microsoft/TypeScript
laravel/laravel
hakimel/reveal.js
h5bp/html5-boilerplate
freeCodeCamp/freeCodeCamp
iluwatar/java-design-patterns
ant-design/ant-design
getify/You-Dont-Know-JS
denoland/deno
jwasham/coding-interview-university
facebook/react
TheAlgorithms/Python
d3/d3
apple/swift
adam-p/markdown-here
angular/angular.js
donnemartin/system-design-primer
resume/resume.github.com
kubernetes/kubernetes
MisterBooo/LeetCodeAnimation
puppeteer/puppeteer
justjavac/free-programming-books-zh_CN
bitcoin/bitcoin
golang/go
gothinkster/realworld
tensorflow/models
mui-org/material-ui
jlevy/the-art-of-command-line
josephmisiti/awesome-machine-learning
mrdoob/three.js
goldbergyoni/nodebestpractices
electron/electron
angular/angular
microsoft/PowerToys
shadowsocks/shadowsocks-windows
vuejs/vue
ossu/computer-science
storybookjs/storybook
trekhleb/javascript-algorithms
expressjs/express
moby/moby
thedaviddias/Front-End-Checklist
django/django
kamranahmedse/developer-roadmap
flutter/flutter
nodejs/node
996icu/996.ICU
pallets/flask
typicode/json-server
spring-projects/spring-boot
tensorflow/tensorflow
vinta/awesome-python
ElemeFE/element
airbnb/javascript
kdn251/interviews
vercel/next.js
microsoft/vscode
torvalds/linux
lodash/lodash
chartjs/Chart.js
vuejs/awesome-vue
rust-lang/rust
tonsky/FiraCode
httpie/httpie
doocs/advanced-java
gin-gonic/gin
Snailclimb/JavaGuide
facebook/create-react-app
ohmyzsh/ohmyzsh
facebook/react-native
gohugoio/hugo
EbookFoundation/free-programming-books
twbs/bootstrap
webpack/webpack
ryanmcdermott/clean-code-javascript
socketio/socket.io
elastic/elasticsearch
ansible/ansible
danistefanovic/build-your-own-x
microsoft/terminal
PanJiaChen/vue-element-admin
pytorch/pytorch
reduxjs/redux
redis/redis
jquery/jquery
Semantic-Org/Semantic-UI
bailicangdu/vue2-elm
microsoft/Web-Dev-For-Begin...
prometheus/prometheus
google/guava
NARKOZ/hacker-scripts
mtdvio/every-programmer-sho...
x64dbg/x64dbg
aymericdamien/TensorFlow-Ex...
sdmg15/Best-websites-a-prog...
apache/superset
styled-components/styled-co...
PhilJay/MPAndroidChart
astaxie/build-web-applicati...
trimstray/the-book-of-secre...
TheAlgorithms/Java
vercel/hyper
pixijs/pixijs
nwjs/nw.js
FreeCodeCampChina/freecodec...
ripienaar/free-for-dev
godotengine/godot
azl397985856/leetcode
junegunn/fzf
apache/echarts
discourse/discourse
justjavac/awesome-wechat-weapp
fatedier/frp
Hack-with-Github/Awesome-Ha...
sindresorhus/awesome-nodejs
grafana/grafana
apache/dubbo
DefinitelyTyped/DefinitelyT...
impress/impress.js
syncthing/syncthing
scikit-learn/scikit-learn
serverless/serverless
jekyll/jekyll
home-assistant/core
nodejs/node-v0.x-archive
caddyserver/caddy
gogs/gogs
prakhar1989/awesome-courses
ReactTraining/react-router
shadowsocks/shadowsocks
ionic-team/ionic-framework
square/retrofit
karan/Projects
AFNetworking/AFNetworking
alvarotrigo/fullPage.js
spring-projects/spring-fram...
babel/babel
papers-we-love/papers-we-love
facebook/jest
neovim/neovim
yarnpkg/yarn
moment/moment
square/okhttp
Unitech/pm2
Dogfalo/materialize
kelseyhightower/nocode
python/cpython
adobe/brackets
tesseract-ocr/tesseract
JetBrains/kotlin
minimaxir/big-list-of-naugh...
necolas/normalize.css
mozilla/pdf.js
enaqx/awesome-react
JuliaLang/julia
meteor/meteor
prettier/prettier
fastlane/fastlane
TryGhost/Ghost
strapi/strapi
google/material-design-icons
wasabeef/awesome-android-ui
Marak/faker.js
nestjs/nest
soimort/you-get
iamkun/dayjs
scutan90/DeepLearning-500-q...
scrapy/scrapy
k88hudson/git-flight-rules
tiangolo/fastapi
Alamofire/Alamofire
rails/rails
juliangarnier/anime
gulpjs/gulp
nuxt/nuxt.js
ziishaned/learn-regex
vsouza/awesome-ios
Solido/awesome-flutter
ReactiveX/RxJava
jaywcjlove/awesome-mac
tldr-pages/tldr
ageitgey/face_recognition
jgthms/bulma
git/git
GitSquared/edex-ui
hexojs/hexo
airbnb/lottie-android
apache/spark
Homebrew/brew
pandas-dev/pandas
mathiasbynens/dotfiles
hoppscotch/hoppscotch
getsentry/sentry
formium/formik
codepath/android_guides
chubin/cheat.sh
MunGell/awesome-for-beginners
bradtraversy/design-resourc...
microsoft/playwright
agalwood/Motrix
ethereum/go-ethereum
bayandin/awesome-awesomeness
localstack/localstack
cypress-io/cypress
Kong/kong
SheetJS/sheetjs
sharkdp/bat
dypsilon/frontend-dev-bookm...
bilibili/ijkplayer
BVLC/caffe
Blankj/AndroidUtilCode
joshbuchea/HEAD
skylot/jadx
bumptech/glide
vuejs/vuex
zxing/zxing
kenwheeler/slick
google/material-design-lite
dcloudio/uni-app
react-boilerplate/react-boi...
Leaflet/Leaflet
floodsung/Deep-Learning-Pap...
